Date, Open , High , Low , Close  , Adj Close  ,Volume
30-Dec-24, $319.40 , $320.01 , $301.75 , $302.96 , $302.96 ,"25,771,200"
27-Dec-24, $342.30 , $342.71 , $323.20 , $330.00 , $330.00 ,"13,778,500"
26-Dec-24, $350.31 , $351.80 , $340.00 , $341.05 , $341.05 ,"13,249,000"
24-Dec-24, $343.50 , $361.00 , $342.70 , $358.18 , $358.18 ,"16,377,800"
23-Dec-24, $358.00 , $359.74 , $329.08 , $332.23 , $332.23 ,"21,742,500"
20-Dec-24, $319.37 , $364.88 , $317.00 , $364.20 , $364.20 ,"44,889,900"
19-Dec-24, $365.44 , $367.50 , $323.48 , $326.46 , $326.46 ,"26,922,900"
18-Dec-24, $386.00 , $390.32 , $338.00 , $349.64 , $349.64 ,"24,422,900"
17-Dec-24, $413.45 , $415.68 , $386.01 , $386.42 , $386.42 ,"21,822,000"
16-Dec-24, $424.87 , $437.61 , $406.46 , $408.50 , $408.50 ,"31,099,400"
13-Dec-24, $400.07 , $409.71 , $388.88 , $408.67 , $408.67 ,"21,536,900"
12-Dec-24, $413.71 , $415.80 , $386.11 , $392.19 , $392.19 ,"21,074,300"
11-Dec-24, $385.66 , $412.68 , $385.50 , $411.40 , $411.40 ,"27,594,400"
10-Dec-24, $373.37 , $379.80 , $356.05 , $377.32 , $377.32 ,"20,139,900"
9-Dec-24, $394.00 , $399.80 , $363.44 , $365.34 , $365.34 ,"22,606,100"
6-Dec-24, $395.29 , $405.00 , $384.02 , $395.01 , $395.01 ,"26,206,200"
5-Dec-24, $440.12 , $444.94 , $379.35 , $386.40 , $386.40 ,"46,189,800"
4-Dec-24, $380.00 , $409.97 , $365.60 , $406.00 , $406.00 ,"29,862,200"
3-Dec-24, $367.85 , $393.12 , $362.67 , $373.43 , $373.43 ,"22,817,500"
2-Dec-24, $393.64 , $398.79 , $374.36 , $380.30 , $380.30 ,"23,404,300"
29-Nov-24, $405.75 , $417.62 , $381.00 , $387.47 , $387.47 ,"21,987,600"
27-Nov-24, $384.29 , $397.66 , $372.50 , $388.84 , $388.84 ,"34,921,200"
26-Nov-24, $382.78 , $403.00 , $338.67 , $353.69 , $353.69 ,"47,891,000"
25-Nov-24, $440.75 , $440.75 , $383.80 , $403.45 , $403.45 ,"40,180,400"
22-Nov-24, $403.60 , $453.00 , $393.10 , $421.88 , $421.88 ,"55,935,000"
21-Nov-24, $535.63 , $543.00 , $371.84 , $397.28 , $397.28 ,"100,444,000"
20-Nov-24, $463.40 , $504.83 , $457.30 , $473.83 , $473.83 ,"70,212,600"
19-Nov-24, $389.50 , $449.00 , $381.00 , $430.54 , $430.54 ,"50,954,500"
18-Nov-24, $345.42 , $388.49 , $339.38 , $384.79 , $384.79 ,"32,745,900"
15-Nov-24, $336.60 , $349.94 , $324.10 , $340.65 , $340.65 ,"25,842,000"
14-Nov-24, $341.77 , $348.00 , $318.62 , $327.67 , $327.67 ,"26,605,700"
13-Nov-24, $366.98 , $383.40 , $321.70 , $328.38 , $328.38 ,"46,238,500"
12-Nov-24, $334.77 , $360.89 , $325.50 , $356.59 , $356.59 ,"39,705,800"
11-Nov-24, $297.00 , $351.73 , $293.30 , $340.00 , $340.00 ,"47,315,700"
8-Nov-24, $275.58 , $279.38 , $262.60 , $270.42 , $270.42 ,"18,764,200"
7-Nov-24, $256.80 , $280.80 , $252.70 , $270.81 , $270.81 ,"23,931,700"
6-Nov-24, $260.00 , $261.20 , $242.69 , $257.81 , $257.81 ,"26,270,400"
5-Nov-24, $233.34 , $243.46 , $225.43 , $227.80 , $227.80 ,"17,993,900"
4-Nov-24, $226.97 , $231.68 , $220.82 , $222.99 , $222.99 ,"13,438,800"
1-Nov-24, $245.33 , $255.75 , $225.93 , $229.71 , $229.71 ,"26,258,900"
31-Oct-24, $251.12 , $252.88 , $237.00 , $244.50 , $244.50 ,"21,954,100"
30-Oct-24, $246.50 , $255.80 , $239.00 , $247.31 , $247.31 ,"20,593,300"
29-Oct-24, $264.25 , $267.89 , $251.24 , $258.24 , $258.24 ,"25,958,500"
28-Oct-24, $244.64 , $259.50 , $242.77 , $255.34 , $255.34 ,"23,182,000"
25-Oct-24, $236.39 , $245.57 , $227.75 , $234.34 , $234.34 ,"25,093,200"
24-Oct-24, $220.09 , $236.29 , $218.25 , $235.89 , $235.89 ,"23,221,500"
23-Oct-24, $215.08 , $222.85 , $204.91 , $213.95 , $213.95 ,"17,025,500"
22-Oct-24, $216.21 , $221.40 , $212.08 , $219.70 , $219.70 ,"13,758,100"
21-Oct-24, $214.49 , $223.15 , $208.45 , $219.05 , $219.05 ,"18,028,600"
18-Oct-24, $197.59 , $218.65 , $197.10 , $215.86 , $215.86 ,"22,814,800"
17-Oct-24, $192.80 , $198.88 , $185.81 , $193.42 , $193.42 ,"11,414,300"
16-Oct-24, $199.90 , $200.62 , $191.96 , $194.09 , $194.09 ,"12,434,600"
15-Oct-24, $206.73 , $211.16 , $189.70 , $194.31 , $194.31 ,"23,114,600"
14-Oct-24, $224.48 , $227.15 , $201.43 , $201.67 , $201.67 ,"31,736,600"
11-Oct-24, $188.50 , $212.81 , $187.41 , $212.59 , $212.59 ,"29,933,800"
10-Oct-24, $191.89 , $192.20 , $178.00 , $183.34 , $183.34 ,"15,937,500"
9-Oct-24, $189.77 , $198.39 , $185.25 , $188.91 , $188.91 ,"13,445,300"
8-Oct-24, $186.10 , $198.49 , $184.45 , $192.20 , $192.20 ,"20,984,800"
7-Oct-24, $179.71 , $191.99 , $178.80 , $186.09 , $186.09 ,"19,826,000"
4-Oct-24, $166.72 , $176.55 , $163.97 , $176.51 , $176.51 ,"14,030,100"
3-Oct-24, $163.39 , $165.86 , $157.82 , $163.41 , $163.41 ,"8,814,200"
2-Oct-24, $160.51 , $173.88 , $159.16 , $164.64 , $164.64 ,"12,557,500"
1-Oct-24, $168.52 , $169.43 , $157.02 , $162.69 , $162.69 ,"14,103,300"
30-Sep-24, $168.63 , $175.51 , $167.31 , $168.60 , $168.60 ,"13,338,100"
27-Sep-24, $170.48 , $179.60 , $168.31 , $176.22 , $176.22 ,"17,321,200"
26-Sep-24, $157.63 , $167.51 , $156.38 , $165.98 , $165.98 ,"17,068,500"
25-Sep-24, $152.30 , $157.88 , $151.50 , $151.94 , $151.94 ,"7,839,400"
24-Sep-24, $150.16 , $154.33 , $146.71 , $153.88 , $153.88 ,"9,365,200"
23-Sep-24, $147.48 , $151.59 , $145.01 , $149.97 , $149.97 ,"10,090,300"
20-Sep-24, $144.39 , $148.03 , $141.64 , $144.78 , $144.78 ,"12,332,300"
19-Sep-24, $140.45 , $148.96 , $139.62 , $144.66 , $144.66 ,"20,177,300"
18-Sep-24, $130.44 , $139.49 , $128.51 , $132.67 , $132.67 ,"16,345,600"
17-Sep-24, $138.37 , $140.16 , $128.82 , $131.27 , $131.27 ,"21,043,400"
16-Sep-24, $137.02 , $137.88 , $132.67 , $134.53 , $134.53 ,"8,765,900"
13-Sep-24, $131.10 , $143.00 , $129.84 , $141.47 , $141.47 ,"12,239,100"
12-Sep-24, $129.00 , $134.10 , $127.27 , $130.77 , $130.77 ,"6,052,400"
11-Sep-24, $124.81 , $131.00 , $121.30 , $129.28 , $129.28 ,"8,731,200"
10-Sep-24, $123.00 , $129.82 , $121.55 , $129.64 , $129.64 ,"7,738,000"
9-Sep-24, $118.93 , $125.23 , $117.50 , $124.82 , $124.82 ,"9,771,200"
6-Sep-24, $122.93 , $124.69 , $113.69 , $114.30 , $114.30 ,"8,795,500"
5-Sep-24, $122.35 , $126.83 , $119.43 , $119.57 , $119.57 ,"6,066,600"
4-Sep-24, $120.25 , $125.98 , $117.94 , $124.85 , $124.85 ,"8,191,100"
3-Sep-24, $132.00 , $132.73 , $122.19 , $122.32 , $122.32 ,"8,258,800"
30-Aug-24, $134.00 , $135.25 , $128.30 , $132.42 , $132.42 ,"7,803,000"
29-Aug-24, $137.00 , $139.43 , $131.00 , $132.56 , $132.56 ,"8,431,400"
28-Aug-24, $138.16 , $138.40 , $130.73 , $132.09 , $132.09 ,"8,860,100"
27-Aug-24, $144.48 , $145.24 , $138.19 , $140.01 , $140.01 ,"10,943,100"
26-Aug-24, $148.12 , $152.35 , $146.60 , $146.90 , $146.90 ,"10,418,800"
23-Aug-24, $137.40 , $151.81 , $135.51 , $150.01 , $150.01 ,"17,791,300"
22-Aug-24, $141.39 , $141.78 , $133.69 , $133.81 , $133.81 ,"7,963,400"
21-Aug-24, $134.34 , $142.58 , $132.87 , $141.42 , $141.42 ,"11,774,500"
20-Aug-24, $139.74 , $141.36 , $130.63 , $133.69 , $133.69 ,"11,274,600"
19-Aug-24, $133.70 , $137.44 , $131.16 , $135.35 , $135.35 ,"6,595,700"
16-Aug-24, $133.25 , $136.32 , $126.59 , $133.04 , $133.04 ,"11,360,400"
15-Aug-24, $132.70 , $139.00 , $130.73 , $131.93 , $131.93 ,"10,856,900"
